epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.787,1.69057,2.29684,1.55486,0.63412,0.48657,0.52744,0.24501,1.79867,1.97383,1.76785,0.000414831,0.000414831,0.000414831
2,1204.24,1.57451,1.73633,1.46498,0.59889,0.47476,0.4781,0.19895,1.96592,2.03706,1.83622,0.000815034,0.000815034,0.000815034
3,1758.03,1.52616,1.56242,1.44105,0.56735,0.56519,0.56192,0.24773,1.86553,1.76246,1.79081,0.00119874,0.00119874,0.00119874
4,2300.42,1.46498,1.44021,1.40676,0.67387,0.58922,0.6283,0.29163,1.77734,1.46938,1.69076,0.00117575,0.00117575,0.00117575
5,2852.38,1.41657,1.33049,1.37805,0.77176,0.58673,0.67631,0.32795,1.74521,1.32218,1.6317,0.001151,0.001151,0.001151
6,3394.88,1.37379,1.24655,1.35344,0.74411,0.60545,0.67333,0.31953,1.76133,1.39044,1.65238,0.00112625,0.00112625,0.00112625
7,3938.12,1.33265,1.19379,1.32873,0.79134,0.66638,0.73644,0.36491,1.6561,1.18233,1.56362,0.0011015,0.0011015,0.0011015
8,4477.43,1.2954,1.11709,1.30656,0.76994,0.71123,0.74769,0.37424,1.64975,1.15452,1.57013,0.00107675,0.00107675,0.00107675
9,5049.98,1.26706,1.0839,1.2907,0.79163,0.70983,0.75416,0.39332,1.5907,1.09906,1.51892,0.001052,0.001052,0.001052
10,5602,1.24588,1.05376,1.28072,0.78429,0.70935,0.76248,0.38123,1.68301,1.09027,1.56856,0.00102725,0.00102725,0.00102725
11,6209.7,1.21757,1.01164,1.2528,0.80827,0.70398,0.76667,0.41684,1.58441,1.03975,1.49452,0.0010025,0.0010025,0.0010025
12,6771.53,1.1971,0.98301,1.24679,0.77766,0.71201,0.77007,0.40258,1.60858,1.05645,1.506,0.00097775,0.00097775,0.00097775
13,7327.82,1.17437,0.96119,1.23475,0.81917,0.7478,0.80379,0.42822,1.54184,0.96746,1.48573,0.000953,0.000953,0.000953
14,7890.77,1.14371,0.93238,1.21983,0.78108,0.72463,0.78672,0.40866,1.62328,1.00796,1.50483,0.00092825,0.00092825,0.00092825
15,8433.63,1.14097,0.91383,1.2217,0.83577,0.72473,0.8077,0.44265,1.53624,0.9461,1.45755,0.0009035,0.0009035,0.0009035
16,8966.71,1.11309,0.88948,1.20246,0.81348,0.73209,0.79651,0.4186,1.60863,0.96657,1.52598,0.00087875,0.00087875,0.00087875
17,9503.81,1.11294,0.87856,1.20098,0.79806,0.76903,0.80306,0.44556,1.51023,0.92374,1.43754,0.000854,0.000854,0.000854
18,10035,1.0962,0.86702,1.18861,0.80558,0.76654,0.82152,0.45588,1.49752,0.90792,1.44399,0.00082925,0.00082925,0.00082925
19,10572.8,1.08784,0.84474,1.18764,0.81576,0.76328,0.82297,0.45653,1.50372,0.89167,1.42216,0.0008045,0.0008045,0.0008045
20,11104.2,1.07242,0.83145,1.17395,0.81315,0.7581,0.82271,0.43624,1.52109,0.90562,1.4464,0.00077975,0.00077975,0.00077975
21,11640.7,1.05833,0.81389,1.16894,0.82546,0.76438,0.83336,0.46498,1.49034,0.8841,1.43435,0.000755,0.000755,0.000755
22,12172.1,1.04688,0.7973,1.16262,0.81655,0.73993,0.82598,0.46007,1.51875,0.87336,1.42628,0.00073025,0.00073025,0.00073025
23,12708.9,1.03213,0.78828,1.15585,0.78365,0.75575,0.8195,0.46834,1.46145,0.86651,1.40338,0.0007055,0.0007055,0.0007055
24,13241.8,1.01451,0.77995,1.14991,0.82953,0.76874,0.83099,0.46355,1.4642,0.86878,1.40835,0.00068075,0.00068075,0.00068075
25,13781,1.00566,0.75271,1.13977,0.82451,0.76495,0.83036,0.47037,1.47645,0.84019,1.41672,0.000656,0.000656,0.000656
26,14313.3,0.99357,0.74752,1.13546,0.81786,0.7647,0.8371,0.48131,1.46978,0.84911,1.38403,0.00063125,0.00063125,0.00063125
27,14848.5,0.97888,0.73114,1.12977,0.82782,0.75793,0.83337,0.48925,1.43454,0.83283,1.38839,0.0006065,0.0006065,0.0006065
28,15380,0.97723,0.73243,1.12825,0.85406,0.76608,0.8596,0.50239,1.42217,0.80696,1.37033,0.00058175,0.00058175,0.00058175
29,15916.7,0.95854,0.72855,1.11824,0.83775,0.77837,0.85879,0.50332,1.42957,0.8105,1.36611,0.000557,0.000557,0.000557
30,16449.6,0.94679,0.7069,1.11089,0.85126,0.7504,0.84903,0.49184,1.41169,0.81376,1.37958,0.00053225,0.00053225,0.00053225
31,16988.5,0.93729,0.69823,1.10315,0.85176,0.77621,0.85624,0.488,1.42513,0.83428,1.37606,0.0005075,0.0005075,0.0005075
32,17520.8,0.93313,0.6911,1.10316,0.84681,0.81191,0.86819,0.48926,1.43243,0.79499,1.37343,0.00048275,0.00048275,0.00048275
33,18056.6,0.92785,0.6846,1.09748,0.82088,0.76852,0.84691,0.49212,1.43323,0.80106,1.36845,0.000458,0.000458,0.000458
34,18590.9,0.92879,0.67902,1.09719,0.83377,0.79276,0.85109,0.48686,1.43641,0.78774,1.37226,0.00043325,0.00043325,0.00043325
35,19130.3,0.90483,0.65994,1.08998,0.82603,0.7949,0.86526,0.50866,1.37985,0.78612,1.3481,0.0004085,0.0004085,0.0004085
36,19664.6,0.89434,0.6567,1.08056,0.83352,0.79291,0.86415,0.50845,1.38478,0.769,1.34635,0.00038375,0.00038375,0.00038375
37,20201,0.884,0.64898,1.07843,0.81173,0.81551,0.85464,0.50429,1.38172,0.77123,1.35024,0.000359,0.000359,0.000359
38,20734.6,0.87694,0.63437,1.07468,0.84812,0.77946,0.85455,0.50682,1.39853,0.79693,1.35107,0.00033425,0.00033425,0.00033425
39,21270.2,0.86344,0.6323,1.07244,0.83656,0.78776,0.86324,0.51355,1.37167,0.7694,1.33388,0.0003095,0.0003095,0.0003095
40,21801.7,0.85853,0.62162,1.06396,0.84122,0.79317,0.86665,0.51809,1.35844,0.75779,1.33676,0.00028475,0.00028475,0.00028475
41,22329.1,0.80589,0.53718,1.05807,0.85778,0.7906,0.87696,0.51578,1.37201,0.7445,1.34711,0.00026,0.00026,0.00026
42,22852.9,0.78267,0.51362,1.03494,0.84256,0.79687,0.87604,0.51608,1.37819,0.75341,1.34809,0.00023525,0.00023525,0.00023525
43,23381.6,0.77206,0.50245,1.02985,0.86149,0.78505,0.86868,0.52134,1.35697,0.75551,1.33886,0.0002105,0.0002105,0.0002105
44,23905.4,0.75731,0.49504,1.02849,0.86539,0.78139,0.87391,0.52089,1.35877,0.75457,1.3321,0.00018575,0.00018575,0.00018575
45,24432,0.7363,0.48189,1.01434,0.84564,0.80512,0.86783,0.52035,1.36037,0.75629,1.33321,0.000161,0.000161,0.000161
46,24955,0.72622,0.47487,1.00779,0.86637,0.78768,0.87406,0.52778,1.32995,0.74231,1.33373,0.00013625,0.00013625,0.00013625
47,25481.4,0.72055,0.47026,1.00522,0.85615,0.79548,0.87283,0.52681,1.34741,0.73891,1.3344,0.0001115,0.0001115,0.0001115
48,26004.2,0.7078,0.45817,1.00181,0.83509,0.80349,0.8631,0.52339,1.34606,0.74332,1.33757,8.675e-05,8.675e-05,8.675e-05
49,26532.1,0.70499,0.45472,0.99759,0.84594,0.81768,0.87814,0.53042,1.3355,0.73375,1.32874,6.2e-05,6.2e-05,6.2e-05
50,27056.1,0.69626,0.44941,0.99012,0.86718,0.80481,0.88077,0.5322,1.33765,0.73745,1.33215,3.725e-05,3.725e-05,3.725e-05
